602AZ001008B811000062058001   0APACHE                  ARIZ  090214120A001A35MIN29MIN20FA45 000000
602AZ002008B811000053152002   0COCHISE                 ARIZ  030809110A001A19MWH36MWN12ST99 000000
602AZ002008B811000053152002   0COCHISE                 ARIZ  080106120A001B22MWN00UUU20UN99 000000
602AZ002008B811000053152002   0COCHISE                 ARIZ  120402120A001A30MWU36MWU90ST26 000000
602AZ002055 811000017624002   0DOUGLAS                 ARIZ  040214120A001A39FWH42MWH12WI99 000000
602AZ002094 811000044509002   0SIERRA VISTA            ARIZ  010728110A001A22MWN59MWN12ST05 000000
602AZ002094 811000044509002   0SIERRA VISTA            ARIZ  070319120A001A76MWN17MWH20AQ99 000000
602AZ003009B8110000548910032751COCONINO                ARIZ  060214120A001B99UUN00UUU12UN99 000000
602AZ003009B8110000548910032751COCONINO                ARIZ  070214120A001D43FWN38MWH12UN99 00100045MWN
602AZ003009B8110000548910032751COCONINO                ARIZ  070214120A002A00UUU44MWN90UN99 000000
602AZ003009B8110000548910032751COCONINO                ARIZ  100319120A001B56MWN00UUU12UN99 000000
602AZ004008B811000028307004   0GILA                    ARIZ  031003110A001B50MWH00UUU13UN03 000000
602AZ007009A8110003653620076621MARICOPA                ARIZ  010809111A001A80FWN78MWN13WI99 000000
602AZ007009A8110003653620076621MARICOPA                ARIZ  010809111A002B23MWH00UUU11UN99 000000
602AZ007009A8110003653620076621MARICOPA                ARIZ  010809111B003C02FWN22FAN90DA59 000001                                                  50MWN90DA59
602AZ007009A8110003653620076621MARICOPA                ARIZ  020728110A001B49MWN00UUU12UN99 000000
602AZ007009A8110003653620076621MARICOPA                ARIZ  030809110B001A46MWN50FWN12BF53 000000
602AZ007009A8110003653620076621MARICOPA                ARIZ  040906110A001C52MWN59FWN90IL26 000001                                                  59MWN90BR26
602AZ007009A8110003653620076621MARICOPA                ARIZ  040906110B002A54MBN50MBN12FR53 000000
602AZ007009A8110003653620076621MARICOPA                ARIZ  071220110A001C29MBN20MWH65UN09 000001                                                  25MBN65UN09
602AZ007009A8110003653620076621MARICOPA                ARIZ  100319120A001C27MWH38MWN20FR26 000001                                                  40MWN20FR26
602AZ007013 8110000773170076620AVONDALE                ARIZ  040906110A001F24MWH00UUU12UN46 00100029MWH
602AZ007013 8110000773170076620AVONDALE                ARIZ  061027110A001A48MWN27FWN12HU45 000000
602AZ007013 8110000773170076620AVONDALE                ARIZ  071220110A001A25MBN24MWN12AQ40 000000
602AZ007013 8110000773170076620AVONDALE                ARIZ  080106120A001A57MWN45MWN90ST45 000000
602AZ007013 8110000773170076620AVONDALE                ARIZ  100319120A001A20MIN27MWN12ST99 000000
602AZ007052 8110002394660076620CHANDLER                ARIZ  020728110A001A19MBN18MBN12ST45 000000
602AZ007052 8110002394660076620CHANDLER                ARIZ  060214121A001A33FAN41MWN90GF99 000000
602AZ007052 8110002394660076620CHANDLER                ARIZ  100319120B001A18FWN19MWN13GF53 000000
602AZ007074 8110000322470076621EL MIRAGE               ARIZ  020728110A001B45MWN00UUU12UN99 000000
602AZ007074 8110000322470076621EL MIRAGE               ARIZ  101130121A001A02MW 21MW 40AQ41 000000
602AZ007112 8110002114040076620GILBERT                 ARIZ  040116130A001A56MW 23MW 12ST45 000000
602AZ007112 8110002114040076620GILBERT                 ARIZ  100116130A001A02MW 25MW 40SO99 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  020728110A001B33MWH00UUU12UN99 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  031003110A001D55MWN30MWN12FA99 00100054FWN
602AZ007132 8110002299310076620GLENDALE                ARIZ  031003110A002C16FWH18MWH90ST03 000001                                                  18MWH90ST03
602AZ007132 8110002299310076620GLENDALE                ARIZ  040906110A001A18MBN20MWN20ST99 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  050725121A001A28MWH31MWN12ST81A000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  070105121A001E23MW 22MW 12FR45 00100135MW                                              24MW 12ST45
602AZ007132 8110002299310076620GLENDALE                ARIZ  071220110A002A25MWN00MWN12UN46 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  080106120A001B35MWH00UUU20UN46 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  080106120A002A28MWN21MWH14AQ18 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  090214120A001A19MBN21MBN13ST03 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  090214120A002A39MBN28MBN12AQ40 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  090214120A003A60FAN61MAN20WI60 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  100319120A001A21MWH19MWH12AQ45 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  101005121A002A26MW 20MW 12ST26 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  100319120A003B29MWH00UUU12UN45 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  110326120A001A38FWH38MWH13WI60 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  110326120A002B27MBN00UUU12UN18 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  110326120A003A21MBN14MWH20AQ45 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  120725121A001A34MWN31MWN13AQ44 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  120725121A002B29MWH00UUU12UN99 000000
602AZ007132 8110002299310076620GLENDALE                ARIZ  120725121A003A10FWH22MWH85SD41 000000
602AZ007171C8110004452560076620MESA                    ARIZ  010629110A001A21MBN00MBU20AQ44 000000
602AZ007171C8110004452560076620MESA                    ARIZ  030809110A001A29MBN22MIN90UN45 000000
602AZ007171C8110004452560076620MESA                    ARIZ  051003110A001A04FWH21MWH40DA26 000000
602AZ007171C8110004452560076620MESA                    ARIZ  061027110A001D18MWN21MWH15ST44 00100019MWN
602AZ007171C8110004452560076620MESA                    ARIZ  071106121A001A32MW 57MW 12ST80C000000
602AZ007171C8110004452560076620MESA                    ARIZ  070214121A002A28MWN35MWN20AQ99 000000
602AZ007171C8110004452560076620MESA                    ARIZ  070214121A003A39FWN35MWN40GF45 000000
602AZ007171C8110004452560076620MESA                    ARIZ  070214121A004A25MWN00MWH12ST03 000000
602AZ007171C8110004452560076620MESA                    ARIZ  070214120B005A30MWN32MWN12AQ53 000000
602AZ007171C8110004452560076620MESA                    ARIZ  080106120A001A30MWN27MWN20UN03 000000
602AZ007171C8110004452560076620MESA                    ARIZ  080106120A002C30MWN38MBN12ST81E000001                                                  47MWN12ST81E
602AZ007171C8110004452560076620MESA                    ARIZ  080106120A003A42FWN16MWN12AQ45 000000
602AZ007171C8110004452560076620MESA                    ARIZ  080106120A004C38MWN48MWN12ST81A000002                                                  41MWN12ST81A54MWH12ST81A
602AZ007171C8110004452560076620MESA                    ARIZ  080106120A005A30MWN24MWN12FR45 000000
602AZ007171C8110004452560076620MESA                    ARIZ  100319120A001C01MWH00MWH12UN70 000001                                                  00MWH12UN70
602AZ007171C8110004452560076620MESA                    ARIZ  100319120A002A48MWN50MWN20NE45 000000
602AZ007171C8110004452560076620MESA                    ARIZ  100319120A003C29FWN25MWH11UN99 000002                                                  23MWU11UN99 28MWH11UN99
